#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 175 | 0.000005257s | 72 B
                 176 | 0.000004185s | 40 B
                 177 | 0.000005013s | 48 B
                 178 | 0.000008299s | 40 B
                 179 | 0.000005226s | 64 B
                 180 | 0.000007637s | 40 B
                 181 | 0.000004879s | 56 B
                 182 | 0.000004527s | 48 B
                 183 | 0.000004611s | 72 B
                 184 | 0.000005175s | 40 B
                 185 | 0.000005299s | 56 B
                 186 | 0.000004698s | 48 B
                 187 | 0.000004777s | 72 B
                 188 | 0.000005627s | 56 B
                 189 | 0.000005029s | 72 B
                 190 | 0.000005618s | 64 B
                 191 | 0.000007686s | 96 B
                 192 | 0.000005082s | 40 B
                 193 | 0.000004187s | 56 B
                 194 | 0.000006464s | 48 B
                 195 | 0.000004346s | 64 B
                 196 | 0.000008634s | 48 B
                 197 | 0.000010428s | 64 B
                 198 | 0.000005223s | 56 B
                 199 | 0.000004754s | 80 B
                 200 | 0.000004348s | 48 B
                 201 | 0.000006536s | 64 B
                 202 | 0.000004658s | 48 B
                 203 | 0.000009888s | 72 B
                 204 | 0.000005240s | 56 B
                 205 | 0.000004599s | 72 B
                 206 | 0.000004761s | 64 B
                 207 | 0.000007779s | 96 B
                 208 | 0.000005217s | 48 B
                 209 | 0.000007043s | 64 B
                 210 | 0.000004987s | 48 B
                 211 | 0.000008622s | 72 B
                 212 | 0.000004882s | 48 B
                 213 | 0.000005288s | 72 B
                 214 | 0.000005034s | 64 B
                 215 | 0.000005412s | 88 B
                 216 | 0.000004975s | 56 B
                 217 | 0.000005390s | 72 B
                 218 | 0.000005345s | 64 B
                 219 | 0.000010121s | 88 B
                 220 | 0.000007558s | 64 B
                 221 | 0.000017184s | 88 B
                 222 | 0.000005584s | 80 B
                 223 | 0.000006151s | 112 B
                 224 | 0.000005484s | 48 B
                 225 | 0.000005159s | 64 B
                 226 | 0.000008217s | 56 B
                 227 | 0.000005429s | 80 B
                 228 | 0.000008181s | 56 B
                 229 | 0.000005367s | 72 B
                 230 | 0.000008548s | 64 B
                 231 | 0.000005748s | 96 B
                 232 | 0.000008868s | 56 B
                 233 | 0.000005433s | 72 B
                 234 | 0.000004907s | 64 B
                 235 | 0.000005981s | 88 B
                 236 | 0.000005753s | 64 B
                 237 | 0.000010530s | 88 B
                 238 | 0.000006788s | 80 B
                 239 | 0.000006222s | 112 B
                 240 | 0.000005765s | 56 B
                 241 | 0.000005561s | 72 B
                 242 | 0.000009363s | 64 B
                 243 | 0.000008296s | 96 B
                 244 | 0.000006352s | 64 B
                 245 | 0.000008380s | 88 B
                 246 | 0.000006039s | 80 B
                 247 | 0.000009163s | 112 B
                 248 | 0.000009780s | 64 B
                 249 | 0.000008053s | 88 B
                 250 | 0.000008849s | 80 B
                 251 | 0.000008473s | 112 B
                 252 | 0.000009103s | 80 B
                 253 | 0.000008279s | 112 B
                 254 | 0.000008530s | 96 B
                 255 | 0.000010944s | 144 B
                 256 | 0.000008914s | 56 B
                 257 | 0.000009057s | 80 B
                 258 | 0.000008712s | 64 B
                 259 | 0.000011589s | 96 B
                 260 | 0.000011241s | 64 B
                 261 | 0.000010180s | 88 B
                 262 | 0.000009186s | 80 B
                 263 | 0.000008666s | 112 B
                 264 | 0.000008473s | 64 B
                 265 | 0.000008844s | 88 B
                 266 | 0.000008719s | 72 B
                 267 | 0.000010678s | 112 B
                 268 | 0.000006866s | 80 B
                 269 | 0.000006304s | 112 B
                 270 | 0.000006397s | 96 B
                 271 | 0.000007101s | 136 B
                 272 | 0.000006284s | 64 B
                 273 | 0.000006084s | 88 B
                 274 | 0.000010388s | 72 B
                 275 | 0.000005938s | 112 B
                 276 | 0.000006767s | 72 B
                 277 | 0.000006512s | 104 B
                 278 | 0.000010440s | 88 B
                 279 | 0.000006653s | 128 B
                 280 | 0.000006470s | 80 B
                 281 | 0.000010726s | 104 B
                 282 | 0.000006565s | 88 B
                 283 | 0.000007047s | 128 B
                 284 | 0.000006972s | 96 B
                 285 | 0.000007083s | 128 B
                 286 | 0.000007372s | 112 B
                 287 | 0.000007180s | 168 B
                 288 | 0.000006809s | 64 B
                 289 | 0.000006433s | 88 B
                 290 | 0.000010079s | 72 B
                 291 | 0.000006495s | 112 B
                 292 | 0.000006522s | 80 B
                 293 | 0.000006105s | 104 B
