#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 175 | 0.000005227s | 16 B
                 176 | 0.000005314s | 16 B
                 177 | 0.000004992s | 16 B
                 178 | 0.000005004s | 16 B
                 179 | 0.000004864s | 16 B
                 180 | 0.000005019s | 16 B
                 181 | 0.000003997s | 16 B
                 182 | 0.000004094s | 16 B
                 183 | 0.000003986s | 16 B
                 184 | 0.000004263s | 16 B
                 185 | 0.000004178s | 16 B
                 186 | 0.000030729s | 16 B
                 187 | 0.000004917s | 24 B
                 188 | 0.000006695s | 24 B
                 189 | 0.000004726s | 24 B
                 190 | 0.000004837s | 24 B
                 191 | 0.000006714s | 24 B
                 192 | 0.000006100s | 24 B
                 193 | 0.000006169s | 24 B
                 194 | 0.000005135s | 24 B
                 195 | 0.000004902s | 24 B
                 196 | 0.000004786s | 24 B
                 197 | 0.000004766s | 24 B
                 198 | 0.000005029s | 24 B
                 199 | 0.000005125s | 24 B
                 200 | 0.000004657s | 24 B
                 201 | 0.000004958s | 24 B
                 202 | 0.000004953s | 24 B
                 203 | 0.000004926s | 24 B
                 204 | 0.000003875s | 24 B
                 205 | 0.000005885s | 24 B
                 206 | 0.000004833s | 24 B
                 207 | 0.000006773s | 24 B
                 208 | 0.000004591s | 24 B
                 209 | 0.000005918s | 24 B
                 210 | 0.000004485s | 24 B
                 211 | 0.000006855s | 24 B
                 212 | 0.000004047s | 24 B
                 213 | 0.000003969s | 24 B
                 214 | 0.000005895s | 24 B
                 215 | 0.000004404s | 24 B
                 216 | 0.000003836s | 24 B
                 217 | 0.000005429s | 24 B
                 218 | 0.000003661s | 24 B
                 219 | 0.000003792s | 24 B
                 220 | 0.000003816s | 24 B
                 221 | 0.000003760s | 24 B
                 222 | 0.000005484s | 24 B
                 223 | 0.000004109s | 24 B
                 224 | 0.000004627s | 24 B
                 225 | 0.000004092s | 24 B
                 226 | 0.000004355s | 24 B
                 227 | 0.000005351s | 24 B
                 228 | 0.000008768s | 24 B
                 229 | 0.000004231s | 24 B
                 230 | 0.000004494s | 24 B
                 231 | 0.000004163s | 24 B
                 232 | 0.000004498s | 24 B
                 233 | 0.000005277s | 24 B
                 234 | 0.000004496s | 24 B
                 235 | 0.000006403s | 24 B
                 236 | 0.000004096s | 24 B
                 237 | 0.000006961s | 24 B
                 238 | 0.000004822s | 24 B
                 239 | 0.000004128s | 24 B
                 240 | 0.000004547s | 24 B
                 241 | 0.000004043s | 24 B
                 242 | 0.000005864s | 24 B
                 243 | 0.000004560s | 24 B
                 244 | 0.000007689s | 24 B
                 245 | 0.000004549s | 24 B
                 246 | 0.000003882s | 24 B
                 247 | 0.000006157s | 24 B
                 248 | 0.000004560s | 24 B
                 249 | 0.000007553s | 24 B
                 250 | 0.000006296s | 24 B
                 251 | 0.000004081s | 24 B
                 252 | 0.000005389s | 24 B
                 253 | 0.000004114s | 24 B
                 254 | 0.000003788s | 24 B
                 255 | 0.000004666s | 24 B
                 256 | 0.000004513s | 24 B
                 257 | 0.000003968s | 24 B
                 258 | 0.000006241s | 24 B
                 259 | 0.000004417s | 24 B
                 260 | 0.000007337s | 24 B
                 261 | 0.000007062s | 24 B
                 262 | 0.000004824s | 24 B
                 263 | 0.000004133s | 24 B
                 264 | 0.000005924s | 24 B
                 265 | 0.000004295s | 24 B
                 266 | 0.000004788s | 24 B
                 267 | 0.000004446s | 24 B
                 268 | 0.000004517s | 24 B
                 269 | 0.000006769s | 24 B
                 270 | 0.000004628s | 24 B
                 271 | 0.000004157s | 24 B
                 272 | 0.000004616s | 24 B
                 273 | 0.000006840s | 24 B
                 274 | 0.000004658s | 24 B
                 275 | 0.000004072s | 24 B
                 276 | 0.000004572s | 24 B
                 277 | 0.000010176s | 24 B
                 278 | 0.000004779s | 24 B
                 279 | 0.000004428s | 32 B
                 280 | 0.000004616s | 32 B
                 281 | 0.000005143s | 32 B
                 282 | 0.000006732s | 32 B
                 283 | 0.000004694s | 32 B
                 284 | 0.000004636s | 32 B
                 285 | 0.000020173s | 32 B
                 286 | 0.000004763s | 32 B
                 287 | 0.000004073s | 32 B
                 288 | 0.000004209s | 32 B
