#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 175 | 0.000100998s | 16 B
                 176 | 0.000098977s | 16 B
                 177 | 0.000080597s | 16 B
                 178 | 0.000087444s | 16 B
                 179 | 0.000089213s | 16 B
                 180 | 0.000091643s | 16 B
                 181 | 0.000086985s | 16 B
                 182 | 0.000106227s | 16 B
                 183 | 0.000088285s | 16 B
                 184 | 0.000089993s | 16 B
                 185 | 0.000089201s | 16 B
                 186 | 0.000089454s | 16 B
                 187 | 0.000088773s | 24 B
                 188 | 0.000094091s | 24 B
                 189 | 0.000098631s | 24 B
                 190 | 0.000108755s | 24 B
                 191 | 0.000106870s | 24 B
                 192 | 0.000095410s | 24 B
                 193 | 0.000098194s | 24 B
                 194 | 0.000095629s | 24 B
                 195 | 0.000095935s | 24 B
                 196 | 0.000095852s | 24 B
                 197 | 0.000096040s | 24 B
                 198 | 0.000101061s | 24 B
                 199 | 0.000097562s | 24 B
                 200 | 0.000092724s | 24 B
                 201 | 0.000095844s | 24 B
                 202 | 0.000099692s | 24 B
                 203 | 0.000096880s | 24 B
                 204 | 0.000124493s | 24 B
                 205 | 0.000098248s | 24 B
                 206 | 0.000102699s | 24 B
                 207 | 0.000106036s | 24 B
                 208 | 0.000111996s | 24 B
                 209 | 0.000104822s | 24 B
                 210 | 0.000105662s | 24 B
                 211 | 0.000100576s | 24 B
                 212 | 0.000106370s | 24 B
                 213 | 0.000105680s | 24 B
                 214 | 0.000103995s | 24 B
                 215 | 0.000101981s | 24 B
                 216 | 0.000123903s | 24 B
                 217 | 0.000115226s | 24 B
                 218 | 0.000105046s | 24 B
                 219 | 0.000117808s | 24 B
                 220 | 0.000109861s | 24 B
                 221 | 0.000111143s | 24 B
                 222 | 0.000111047s | 24 B
                 223 | 0.000109598s | 24 B
                 224 | 0.000113598s | 24 B
                 225 | 0.000116739s | 24 B
                 226 | 0.000111805s | 24 B
                 227 | 0.000112298s | 24 B
                 228 | 0.000112583s | 24 B
                 229 | 0.000134632s | 24 B
                 230 | 0.000112664s | 24 B
                 231 | 0.000112024s | 24 B
                 232 | 0.000114559s | 24 B
                 233 | 0.000117499s | 24 B
                 234 | 0.000114119s | 24 B
                 235 | 0.000113919s | 24 B
                 236 | 0.000116204s | 24 B
                 237 | 0.000126452s | 24 B
                 238 | 0.000117365s | 24 B
                 239 | 0.000131340s | 24 B
                 240 | 0.000124901s | 24 B
                 241 | 0.000076758s | 24 B
                 242 | 0.000153976s | 24 B
                 243 | 0.000124110s | 24 B
                 244 | 0.000110258s | 24 B
                 245 | 0.000128594s | 24 B
                 246 | 0.000132638s | 24 B
                 247 | 0.000145353s | 24 B
                 248 | 0.000135111s | 24 B
                 249 | 0.000130796s | 24 B
                 250 | 0.000076246s | 24 B
                 251 | 0.000140299s | 24 B
                 252 | 0.000147782s | 24 B
                 253 | 0.000131921s | 24 B
                 254 | 0.000139942s | 24 B
                 255 | 0.000149645s | 24 B
                 256 | 0.000152425s | 24 B
                 257 | 0.000140858s | 24 B
                 258 | 0.000134317s | 24 B
                 259 | 0.000078669s | 24 B
                 260 | 0.000169090s | 24 B
                 261 | 0.000135818s | 24 B
                 262 | 0.000079568s | 24 B
                 263 | 0.000143039s | 24 B
                 264 | 0.000138300s | 24 B
                 265 | 0.000095097s | 24 B
                 266 | 0.000159863s | 24 B
                 267 | 0.000144035s | 24 B
                 268 | 0.000141315s | 24 B
                 269 | 0.000080886s | 24 B
                 270 | 0.000155650s | 24 B
                 271 | 0.000161207s | 24 B
                 272 | 0.000145499s | 24 B
                 273 | 0.000144091s | 24 B
                 274 | 0.000088529s | 24 B
                 275 | 0.000158469s | 24 B
                 276 | 0.000163388s | 24 B
                 277 | 0.000158532s | 24 B
                 278 | 0.000159773s | 24 B
                 279 | 0.000161684s | 32 B
                 280 | 0.000164417s | 32 B
                 281 | 0.000170233s | 32 B
                 282 | 0.000167529s | 32 B
                 283 | 0.000162870s | 32 B
                 284 | 0.000166477s | 32 B
                 285 | 0.000168597s | 32 B
                 286 | 0.000147509s | 32 B
                 287 | 0.000169958s | 32 B
                 288 | 0.000161697s | 32 B
                 289 | 0.000168395s | 32 B
                 290 | 0.000167399s | 32 B
                 291 | 0.000184123s | 32 B
                 292 | 0.000166400s | 32 B
                 293 | 0.000169350s | 32 B
                 294 | 0.000169365s | 32 B
                 295 | 0.000185258s | 32 B
                 296 | 0.000156742s | 32 B
                 297 | 0.000172512s | 32 B
                 298 | 0.000172810s | 32 B
                 299 | 0.000188284s | 32 B
                 300 | 0.000191707s | 32 B
                 301 | 0.000155162s | 32 B
                 302 | 0.000097139s | 32 B
                 303 | 0.000098741s | 32 B
                 304 | 0.000097230s | 32 B
                 305 | 0.000148914s | 32 B
                 306 | 0.000148267s | 32 B
                 307 | 0.000150091s | 32 B
                 308 | 0.000136751s | 32 B
                 309 | 0.000128885s | 32 B
                 310 | 0.000160204s | 32 B
                 311 | 0.000141303s | 32 B
                 312 | 0.000156441s | 32 B
                 313 | 0.000159975s | 32 B
                 314 | 0.000182503s | 32 B
                 315 | 0.000126459s | 32 B
                 316 | 0.000196072s | 32 B
                 317 | 0.000131408s | 32 B
                 318 | 0.000178723s | 32 B
                 319 | 0.000146743s | 32 B
                 320 | 0.000147659s | 32 B
                 321 | 0.000167771s | 32 B
                 322 | 0.000132350s | 32 B
                 323 | 0.000153227s | 32 B
                 324 | 0.000133157s | 32 B
                 325 | 0.000129065s | 32 B
                 326 | 0.000137612s | 32 B
                 327 | 0.000129995s | 32 B
                 328 | 0.000138560s | 32 B
                 329 | 0.000127967s | 32 B
                 330 | 0.000135102s | 32 B
                 331 | 0.000143018s | 32 B
                 332 | 0.000156629s | 32 B
                 333 | 0.000155988s | 32 B
                 334 | 0.000094096s | 32 B
                 335 | 0.000093290s | 32 B
                 336 | 0.000093519s | 32 B
                 337 | 0.000128081s | 32 B
                 338 | 0.000094394s | 32 B
                 339 | 0.000094402s | 32 B
                 340 | 0.000094790s | 32 B
                 341 | 0.000094843s | 32 B
                 342 | 0.000095374s | 32 B
                 343 | 0.000095856s | 32 B
                 344 | 0.000108339s | 32 B
                 345 | 0.000096561s | 32 B
                 346 | 0.000097304s | 32 B
                 347 | 0.000097503s | 32 B
                 348 | 0.000098672s | 32 B
                 349 | 0.000098443s | 32 B
                 350 | 0.000109119s | 32 B
                 351 | 0.000180131s | 32 B
                 352 | 0.000151447s | 32 B
                 353 | 0.000163139s | 32 B
                 354 | 0.000177145s | 32 B
                 355 | 0.000217214s | 32 B
                 356 | 0.000176061s | 32 B
                 357 | 0.000210042s | 32 B
                 358 | 0.000249311s | 32 B
                 359 | 0.000104647s | 32 B
                 360 | 0.000103656s | 32 B
                 361 | 0.000147939s | 32 B
                 362 | 0.000148236s | 32 B
                 363 | 0.000165966s | 32 B
                 364 | 0.000219241s | 32 B
                 365 | 0.000168542s | 32 B
                 366 | 0.000175082s | 32 B
                 367 | 0.000162252s | 32 B
                 368 | 0.000190647s | 32 B
                 369 | 0.000183696s | 32 B
                 370 | 0.000185146s | 32 B
                 371 | 0.000171825s | 40 B
                 372 | 0.000215887s | 40 B
                 373 | 0.000167311s | 40 B
                 374 | 0.000181617s | 40 B
                 375 | 0.000191180s | 40 B
                 376 | 0.000175944s | 40 B
                 377 | 0.000200859s | 40 B
                 378 | 0.000170828s | 40 B
                 379 | 0.000168241s | 40 B
                 380 | 0.000186148s | 40 B
                 381 | 0.000191618s | 40 B
                 382 | 0.000174706s | 40 B
                 383 | 0.000173144s | 40 B
                 384 | 0.000211160s | 40 B
                 385 | 0.000199382s | 40 B
                 386 | 0.000196452s | 40 B
                 387 | 0.000189113s | 40 B
                 388 | 0.000207435s | 40 B
                 389 | 0.000205429s | 40 B
                 390 | 0.000214930s | 40 B
                 391 | 0.000224082s | 40 B
                 392 | 0.000227090s | 40 B
                 393 | 0.000227101s | 40 B
                 394 | 0.000224844s | 40 B
                 395 | 0.000226108s | 40 B
                 396 | 0.000230112s | 40 B
                 397 | 0.000195744s | 40 B
                 398 | 0.000230338s | 40 B
                 399 | 0.000218089s | 40 B
                 400 | 0.000224913s | 40 B
                 401 | 0.000221600s | 40 B
                 402 | 0.000227906s | 40 B
                 403 | 0.000222946s | 40 B
                 404 | 0.000221859s | 40 B
                 405 | 0.000230294s | 40 B
                 406 | 0.000227278s | 40 B
                 407 | 0.000220450s | 40 B
                 408 | 0.000229310s | 40 B
                 409 | 0.000231634s | 40 B
                 410 | 0.000223953s | 40 B
                 411 | 0.000229488s | 40 B
                 412 | 0.000224527s | 40 B
                 413 | 0.000219128s | 40 B
                 414 | 0.000233795s | 40 B
                 415 | 0.000211078s | 40 B
                 416 | 0.000217098s | 40 B
                 417 | 0.000180329s | 40 B
                 418 | 0.000230798s | 40 B
                 419 | 0.000225144s | 40 B
                 420 | 0.000240212s | 40 B
                 421 | 0.000238162s | 40 B
                 422 | 0.000236381s | 40 B
                 423 | 0.000170923s | 40 B
                 424 | 0.000147812s | 40 B
                 425 | 0.000148901s | 40 B
                 426 | 0.000148539s | 40 B
                 427 | 0.000138868s | 40 B
                 428 | 0.000149651s | 40 B
                 429 | 0.000138607s | 40 B
                 430 | 0.000138927s | 40 B
                 431 | 0.000139225s | 40 B
                 432 | 0.000164053s | 40 B
                 433 | 0.000228015s | 40 B
                 434 | 0.000179764s | 40 B
                 435 | 0.000189923s | 40 B
                 436 | 0.000188372s | 40 B
                 437 | 0.000192328s | 40 B
                 438 | 0.000185143s | 40 B
                 439 | 0.000247043s | 40 B
                 440 | 0.000243705s | 40 B
                 441 | 0.000216356s | 40 B
                 442 | 0.000214735s | 40 B
                 443 | 0.000229049s | 40 B
                 444 | 0.000206579s | 40 B
                 445 | 0.000191228s | 40 B
                 446 | 0.000229804s | 40 B
                 447 | 0.000251868s | 40 B
                 448 | 0.000184915s | 40 B
                 449 | 0.000236691s | 40 B
                 450 | 0.000240593s | 40 B
                 451 | 0.000239379s | 40 B
                 452 | 0.000237323s | 40 B
                 453 | 0.000240508s | 40 B
                 454 | 0.000240563s | 40 B
                 455 | 0.000256549s | 40 B
                 456 | 0.000238347s | 40 B
                 457 | 0.000209498s | 40 B
                 458 | 0.000254571s | 40 B
                 459 | 0.000153611s | 40 B
                 460 | 0.000242162s | 40 B
                 461 | 0.000258219s | 40 B
                 462 | 0.000245743s | 40 B
                 463 | 0.000244832s | 48 B
                 464 | 0.000172161s | 48 B
                 465 | 0.000153503s | 48 B
                 466 | 0.000153288s | 48 B
                 467 | 0.000153097s | 48 B
                 468 | 0.000158113s | 48 B
                 469 | 0.000168087s | 48 B
                 470 | 0.000153397s | 48 B
                 471 | 0.000140498s | 48 B
                 472 | 0.000217289s | 48 B
                 473 | 0.000225227s | 48 B
                 474 | 0.000217114s | 48 B
                 475 | 0.000217328s | 48 B
                 476 | 0.000217420s | 48 B
                 477 | 0.000253028s | 48 B
                 478 | 0.000174690s | 48 B
                 479 | 0.000174005s | 48 B
                 480 | 0.000178345s | 48 B
                 481 | 0.000143675s | 48 B
                 482 | 0.000143014s | 48 B
                 483 | 0.000143047s | 48 B
                 484 | 0.000143349s | 48 B
                 485 | 0.000144863s | 48 B
                 486 | 0.000144246s | 48 B
                 487 | 0.000144375s | 48 B
                 488 | 0.000144238s | 48 B
                 489 | 0.000151998s | 48 B
                 490 | 0.000145582s | 48 B
                 491 | 0.000145648s | 48 B
                 492 | 0.000146287s | 48 B
                 493 | 0.000146326s | 48 B
                 494 | 0.000162251s | 48 B
                 495 | 0.000147195s | 48 B
                 496 | 0.000147517s | 48 B
                 497 | 0.000147466s | 48 B
                 498 | 0.000148253s | 48 B
                 499 | 0.000164006s | 48 B
                 500 | 0.000148623s | 48 B
                 501 | 0.000159611s | 48 B
                 502 | 0.000169089s | 48 B
                 503 | 0.000220782s | 48 B
                 504 | 0.000176808s | 48 B
                 505 | 0.000183640s | 48 B
                 506 | 0.000244266s | 48 B
                 507 | 0.000165553s | 48 B
                 508 | 0.000190044s | 48 B
                 509 | 0.000301398s | 48 B
                 510 | 0.000280166s | 48 B
