#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000060564s | 0 B
                   1 | 0.000019056s | 8 B
                   2 | 0.000019150s | 8 B
                   3 | 0.000006484s | 8 B
                   4 | 0.000006130s | 8 B
                   5 | 0.000006261s | 8 B
                   6 | 0.000007266s | 8 B
                   7 | 0.000008336s | 8 B
                   8 | 0.000008995s | 8 B
                   9 | 0.000008005s | 8 B
                  10 | 0.000007785s | 8 B
                  11 | 0.000008195s | 8 B
                  12 | 0.000008262s | 8 B
                  13 | 0.000007569s | 8 B
                  14 | 0.000008570s | 8 B
                  15 | 0.000007714s | 8 B
                  16 | 0.000009024s | 8 B
                  17 | 0.000008257s | 8 B
                  18 | 0.000007953s | 8 B
                  19 | 0.000007683s | 8 B
                  20 | 0.000013533s | 8 B
                  21 | 0.000008264s | 8 B
                  22 | 0.000007971s | 8 B
                  23 | 0.000008296s | 8 B
                  24 | 0.000009506s | 8 B
                  25 | 0.000012093s | 8 B
                  26 | 0.000007612s | 8 B
                  27 | 0.000012600s | 8 B
                  28 | 0.000006721s | 8 B
                  29 | 0.000011360s | 8 B
                  30 | 0.000013010s | 8 B
                  31 | 0.000008426s | 8 B
                  32 | 0.000007105s | 8 B
                  33 | 0.000007126s | 8 B
                  34 | 0.000006711s | 8 B
                  35 | 0.000006470s | 8 B
                  36 | 0.000006852s | 8 B
                  37 | 0.000006159s | 8 B
                  38 | 0.000006200s | 8 B
                  39 | 0.000006823s | 8 B
                  40 | 0.000006839s | 8 B
                  41 | 0.000005977s | 8 B
                  42 | 0.000011934s | 8 B
                  43 | 0.000006424s | 8 B
                  44 | 0.000009607s | 8 B
                  45 | 0.000006386s | 8 B
                  46 | 0.000010891s | 8 B
                  47 | 0.000006987s | 8 B
                  48 | 0.000011472s | 8 B
                  49 | 0.000006129s | 8 B
                  50 | 0.000011083s | 8 B
                  51 | 0.000006716s | 8 B
                  52 | 0.000006624s | 8 B
                  53 | 0.000008313s | 8 B
                  54 | 0.000011045s | 8 B
                  55 | 0.000013472s | 8 B
                  56 | 0.000017519s | 8 B
                  57 | 0.000009414s | 8 B
                  58 | 0.000010022s | 8 B
                  59 | 0.000016559s | 8 B
                  60 | 0.000010209s | 8 B
                  61 | 0.000008682s | 8 B
                  62 | 0.000010786s | 8 B
                  63 | 0.000009940s | 8 B
                  64 | 0.000010398s | 8 B
                  65 | 0.000009386s | 8 B
                  66 | 0.000013774s | 8 B
                  67 | 0.000009220s | 8 B
                  68 | 0.000009639s | 8 B
                  69 | 0.000009452s | 8 B
                  70 | 0.000013546s | 8 B
                  71 | 0.000009530s | 8 B
                  72 | 0.000012984s | 8 B
                  73 | 0.000008689s | 8 B
                  74 | 0.000009308s | 8 B
                  75 | 0.000009626s | 8 B
                  76 | 0.000009632s | 8 B
                  77 | 0.000009124s | 8 B
                  78 | 0.000009277s | 8 B
                  79 | 0.000010827s | 8 B
                  80 | 0.000010474s | 8 B
                  81 | 0.000008742s | 8 B
                  82 | 0.000009104s | 8 B
                  83 | 0.000009114s | 8 B
                  84 | 0.000009545s | 8 B
                  85 | 0.000009551s | 8 B
                  86 | 0.000009419s | 8 B
                  87 | 0.000009822s | 8 B
                  88 | 0.000009506s | 8 B
                  89 | 0.000008775s | 8 B
                  90 | 0.000010849s | 8 B
                  91 | 0.000010803s | 8 B
                  92 | 0.000012644s | 8 B
                  93 | 0.000010265s | 8 B
                  94 | 0.000015004s | 16 B
                  95 | 0.000012169s | 16 B
                  96 | 0.000013699s | 16 B
                  97 | 0.000010170s | 16 B
                  98 | 0.000011727s | 16 B
                  99 | 0.000017556s | 16 B
                 100 | 0.000011135s | 16 B
                 101 | 0.000009256s | 16 B
                 102 | 0.000010659s | 16 B
                 103 | 0.000010529s | 16 B
                 104 | 0.000010668s | 16 B
                 105 | 0.000009067s | 16 B
                 106 | 0.000008952s | 16 B
                 107 | 0.000009623s | 16 B
                 108 | 0.000010927s | 16 B
                 109 | 0.000011407s | 16 B
                 110 | 0.000011670s | 16 B
                 111 | 0.000011137s | 16 B
                 112 | 0.000016421s | 16 B
                 113 | 0.000010762s | 16 B
