#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 175 | 0.000010580s | 16 B
                 176 | 0.000011573s | 16 B
                 177 | 0.000010177s | 16 B
                 178 | 0.000010957s | 16 B
                 179 | 0.000011820s | 16 B
                 180 | 0.000011578s | 16 B
                 181 | 0.000010757s | 16 B
                 182 | 0.000011064s | 16 B
                 183 | 0.000010677s | 16 B
                 184 | 0.000010044s | 16 B
                 185 | 0.000009981s | 16 B
                 186 | 0.000010875s | 16 B
                 187 | 0.000011719s | 24 B
                 188 | 0.000010763s | 24 B
                 189 | 0.000012670s | 24 B
                 190 | 0.000012744s | 24 B
                 191 | 0.000011673s | 24 B
                 192 | 0.000012551s | 24 B
                 193 | 0.000010903s | 24 B
                 194 | 0.000011025s | 24 B
                 195 | 0.000010536s | 24 B
                 196 | 0.000010739s | 24 B
                 197 | 0.000010425s | 24 B
                 198 | 0.000010784s | 24 B
                 199 | 0.000011031s | 24 B
                 200 | 0.000010310s | 24 B
                 201 | 0.000010905s | 24 B
                 202 | 0.000010950s | 24 B
                 203 | 0.000010649s | 24 B
                 204 | 0.000010500s | 24 B
                 205 | 0.000010991s | 24 B
                 206 | 0.000012291s | 24 B
                 207 | 0.000013411s | 24 B
                 208 | 0.000012177s | 24 B
                 209 | 0.000013580s | 24 B
                 210 | 0.000012877s | 24 B
                 211 | 0.000012238s | 24 B
                 212 | 0.000012088s | 24 B
                 213 | 0.000011991s | 24 B
                 214 | 0.000012001s | 24 B
                 215 | 0.000011995s | 24 B
                 216 | 0.000012071s | 24 B
                 217 | 0.000012119s | 24 B
                 218 | 0.000012198s | 24 B
                 219 | 0.000012374s | 24 B
                 220 | 0.000012180s | 24 B
                 221 | 0.000012630s | 24 B
                 222 | 0.000012327s | 24 B
                 223 | 0.000012361s | 24 B
                 224 | 0.000012375s | 24 B
                 225 | 0.000012362s | 24 B
                 226 | 0.000012356s | 24 B
                 227 | 0.000012263s | 24 B
                 228 | 0.000012573s | 24 B
                 229 | 0.000012571s | 24 B
                 230 | 0.000012503s | 24 B
                 231 | 0.000012652s | 24 B
                 232 | 0.000012544s | 24 B
                 233 | 0.000013234s | 24 B
                 234 | 0.000013167s | 24 B
                 235 | 0.000012732s | 24 B
                 236 | 0.000012853s | 24 B
                 237 | 0.000012772s | 24 B
                 238 | 0.000013167s | 24 B
                 239 | 0.000013213s | 24 B
                 240 | 0.000013030s | 24 B
                 241 | 0.000013055s | 24 B
                 242 | 0.000013285s | 24 B
                 243 | 0.000013231s | 24 B
                 244 | 0.000013539s | 24 B
                 245 | 0.000013203s | 24 B
                 246 | 0.000013159s | 24 B
                 247 | 0.000013392s | 24 B
                 248 | 0.000013342s | 24 B
                 249 | 0.000013349s | 24 B
                 250 | 0.000013722s | 24 B
                 251 | 0.000012561s | 24 B
                 252 | 0.000014419s | 24 B
                 253 | 0.000014167s | 24 B
                 254 | 0.000014857s | 24 B
                 255 | 0.000013865s | 24 B
                 256 | 0.000013953s | 24 B
                 257 | 0.000013899s | 24 B
                 258 | 0.000013375s | 24 B
                 259 | 0.000013874s | 24 B
                 260 | 0.000014155s | 24 B
                 261 | 0.000014161s | 24 B
                 262 | 0.000014086s | 24 B
                 263 | 0.000014128s | 24 B
                 264 | 0.000014272s | 24 B
                 265 | 0.000013925s | 24 B
                 266 | 0.000014278s | 24 B
                 267 | 0.000014331s | 24 B
                 268 | 0.000014160s | 24 B
                 269 | 0.000014500s | 24 B
                 270 | 0.000014584s | 24 B
                 271 | 0.000014511s | 24 B
                 272 | 0.000014693s | 24 B
                 273 | 0.000015389s | 24 B
                 274 | 0.000021775s | 24 B
                 275 | 0.000015100s | 24 B
                 276 | 0.000013671s | 24 B
                 277 | 0.000015100s | 24 B
                 278 | 0.000013751s | 24 B
                 279 | 0.000015895s | 32 B
                 280 | 0.000014298s | 32 B
                 281 | 0.000015860s | 32 B
                 282 | 0.000014681s | 32 B
                 283 | 0.000016567s | 32 B
                 284 | 0.000014767s | 32 B
                 285 | 0.000016380s | 32 B
                 286 | 0.000016133s | 32 B
                 287 | 0.000014960s | 32 B
                 288 | 0.000016363s | 32 B
                 289 | 0.000014430s | 32 B
                 290 | 0.000016060s | 32 B
                 291 | 0.000014541s | 32 B
                 292 | 0.000016331s | 32 B
                 293 | 0.000014177s | 32 B
                 294 | 0.000016510s | 32 B
                 295 | 0.000014954s | 32 B
                 296 | 0.000016524s | 32 B
                 297 | 0.000014978s | 32 B
                 298 | 0.000016433s | 32 B
                 299 | 0.000015384s | 32 B
                 300 | 0.000016557s | 32 B
                 301 | 0.000014926s | 32 B
                 302 | 0.000016599s | 32 B
                 303 | 0.000014851s | 32 B
                 304 | 0.000016963s | 32 B
                 305 | 0.000016624s | 32 B
                 306 | 0.000016867s | 32 B
                 307 | 0.000015782s | 32 B
                 308 | 0.000016341s | 32 B
                 309 | 0.000015410s | 32 B
                 310 | 0.000015646s | 32 B
                 311 | 0.000015568s | 32 B
                 312 | 0.000015713s | 32 B
                 313 | 0.000015540s | 32 B
                 314 | 0.000015432s | 32 B
                 315 | 0.000026046s | 32 B
                 316 | 0.000015667s | 32 B
                 317 | 0.000015401s | 32 B
                 318 | 0.000015455s | 32 B
                 319 | 0.000016498s | 32 B
                 320 | 0.000011296s | 32 B
                 321 | 0.000016646s | 32 B
                 322 | 0.000013328s | 32 B
                 323 | 0.000011115s | 32 B
                 324 | 0.000016612s | 32 B
                 325 | 0.000017814s | 32 B
                 326 | 0.000012158s | 32 B
                 327 | 0.000011623s | 32 B
                 328 | 0.000011602s | 32 B
                 329 | 0.000016300s | 32 B
                 330 | 0.000016160s | 32 B
                 331 | 0.000016389s | 32 B
                 332 | 0.000016505s | 32 B
                 333 | 0.000032656s | 32 B
                 334 | 0.000016475s | 32 B
                 335 | 0.000016595s | 32 B
                 336 | 0.000016343s | 32 B
                 337 | 0.000011148s | 32 B
                 338 | 0.000016364s | 32 B
                 339 | 0.000011962s | 32 B
                 340 | 0.000017181s | 32 B
                 341 | 0.000011706s | 32 B
                 342 | 0.000017286s | 32 B
                 343 | 0.000015638s | 32 B
                 344 | 0.000017353s | 32 B
                 345 | 0.000015205s | 32 B
                 346 | 0.000017586s | 32 B
                 347 | 0.000011240s | 32 B
                 348 | 0.000011792s | 32 B
                 349 | 0.000017371s | 32 B
                 350 | 0.000017408s | 32 B
                 351 | 0.000016951s | 32 B
                 352 | 0.000017276s | 32 B
                 353 | 0.000017673s | 32 B
                 354 | 0.000012323s | 32 B
                 355 | 0.000017728s | 32 B
                 356 | 0.000013273s | 32 B
                 357 | 0.000017661s | 32 B
                 358 | 0.000016686s | 32 B
                 359 | 0.000017989s | 32 B
                 360 | 0.000017771s | 32 B
                 361 | 0.000017575s | 32 B
                 362 | 0.000017435s | 32 B
                 363 | 0.000016776s | 32 B
                 364 | 0.000011887s | 32 B
                 365 | 0.000013803s | 32 B
                 366 | 0.000018124s | 32 B
                 367 | 0.000017863s | 32 B
                 368 | 0.000017989s | 32 B
                 369 | 0.000017543s | 32 B
                 370 | 0.000011997s | 32 B
                 371 | 0.000017419s | 40 B
